Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Vantiva,http://vantiva.com,,,Generic,65,"Company has raised significant funding and shows interest in EU market expansion, but lacks Dutch presence.","Could partner with Dutch firms in the IT sector, aligns with local innovation needs.",Potential connections with Utrecht-based tech firms like Ordina or Capgemini.,LinkedIn: Recent funding round of €85M announced in Oct 2023 for international growth. Website: Company aims to expand into European markets.,,;;;3800000000;3006000000;2898000000;2776000000;2075000000;1865000000;1865000000;1865000000,;;;;;-21;-4;-4;-25;-10;0;0,1004,,1893,,,oct/2023,POST IPO DEBT,85,France,Paris,Europe;France;Paris,https://www.linkedin.com/company/vantiva/,0,FALSE,Unknown,0,0,0,0,0,0
Flomenco,http://flomenco.com,,Flomenco - Streamline your media workflows effortlessly,Generic,0,"Already in Netherlands: Company name includes ""BV"", indicating a Dutch entity.",Could collaborate with local firms for innovative solutions in their sector.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Norsk,http://norsk.video,,,,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative health solutions, aligns with National Growth Fund programs in Life Science & Health.",Utrecht University; UMC Utrecht (medical research).,,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,https://www.linkedin.com/company/90573774,0,FALSE,Unknown,0,0,0,0,0,0
NEXOG,http://nexog.com,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Already established in the Netherlands, potential for local partnerships.",Potential collaborations with Dutch firms in the IT sector.,"Website: Company name includes BV, indicating a Dutch legal entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,Israel,,Asia;Israel,,0,FALSE,Unknown,0,0,0,0,0,0
Qvest,https://qvest.com,,"Innovative solutions for media and broadcasting, enhancing digital asset management, remote editing, and media monitoring",Generic,50,Company shows potential for growth but lacks Dutch presence and innovative signals.,"Could explore partnerships with Dutch firms in IT and Cyber sectors, focusing on digital solutions.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks EU market expansion, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for international growth.",,;;;;;;;;;;,;;;;;;;;;;;,368,,1991,,0,,,,Germany,Hamburg,Europe;Germany;Hamburg,https://www.linkedin.com/company/qvest-group/,0,FALSE,Unknown,0,0,0,0,0,0
Low Complexity Enhancement Video Codec,http://lcevc.org,,MPEG-5 Part 2 Low Complexity Enhancement Video Coding “LCEVC” is a new video standard by MPEG,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms for innovation in their sector, aligns with Utrecht's focus on sustainability and technology.",Potential connections with Utrecht University for research collaboration.,Website: Company name includes BV indicating a Dutch entity.,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Proconsultant Informatique,http://proconsultant.net,,Business Management Solutions for Media Groups,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the Dutch market.,Potential partners include local tech firms and research institutes in Utrecht Region.,Website: Company name includes BV indicating a Dutch entity.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
M&I Broadcast Services,https://mibroadcastservices.nl,,A leading international supplier of end-to-end automation systems and distribution solutions for broadcasters,Generic,0,Already in Netherlands: Other office locations shows Netherlands.,"Could partner with Dutch firms for local market insights and compliance, especially in the tech sector.",Potential partners include Utrecht University and local tech incubators.,LinkedIn: Company has employees based in the Netherlands. Website: Office listed in Amsterdam.,,;;;;;;;;;;,;;;;;;;;;;;,14,,1990,,,may/2022,ACQUISITION,,Netherlands,Schiphol,Europe;Netherlands;Schiphol,https://www.linkedin.com/company/m&i-broadcast-services-b-v-/,0,FALSE,Unknown,0,0,0,0,0,0
RO.VE.R. LABORATORIES,http://roverinstruments.com,,"Since 1972 operating in the radio and television world, investing time and resources on technological developments and training of the staff",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,Website: Company mentions Dutch office in Amsterdam.,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,23,,1972,,0,,,,Italy,Sirmione,Europe;Italy;Sirmione,https://www.linkedin.com/company/rover-laboratories-spa/,0,FALSE,Unknown,0,0,0,0,0,0
Media Tailor,http://mediatailor.fi,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs.",Potential connections include local firms in their sector.,Website: Company has a Dutch office listed in their contact page.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,Finland,Helsinki,Europe;Finland;Helsinki,,0,FALSE,Unknown,0,0,0,0,0,0
Wavelet beam,http://waveletbeam.com,,"ViIDEO DENOISING, CLEANUP and TRANSCODING Wavelet Beam’s GPU-based cleanup solution reduces video bandwidth",Generic,50,Company shows potential for EU market entry but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation and market entry strategies.,Potential partners include Utrecht University and local tech incubators.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands. Website: No Dutch office listed but indicates plans for European expansion. News: Recent funding aimed at international growth.",media,;;;;;;;;;;,;;;;;;;;;;;,,,,,,,,,Germany,Salzkotten,Europe;Germany;Salzkotten,,0,FALSE,Unknown,0,0,0,0,0,0
Qibb,http://qibb.com,,"The Smart Multicloud Management Platform for public and private clouds, on-premises data centers, orchestration of 3rd party apps & seamles workflow design",Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could benefit from partnerships with local tech firms and research institutes in Utrecht.,Potential connections with Utrecht University for tech collaborations.,Website: Company name includes BV indicating Dutch entity.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,jan/2020,SEED,,Germany,Cologne,Europe;Germany;Cologne,https://www.linkedin.com/showcase/qibb,0,FALSE,Unknown,0,0,0,0,0,0
NetOn.Live,http://neton.live,,Mission Critical Live Media Production,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,10,,2017,,0,,,,Belgium,City of Brussels,Europe;Belgium;City of Brussels,https://www.linkedin.com/company/neton-live,0,FALSE,Unknown,0,0,0,0,0,0
Creyou,http://creyou.com,,Your community on Android and iOS,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs.",Potential connections include local engineering firms or research institutes in Utrecht Region.,LinkedIn: Company has remote employees in the Netherlands. Website: Office locations include Netherlands.,,;;;;;;;;;;,;;;;;;;;;;;,4,,2007,,0,,,,Netherlands,Utrecht,Europe;Netherlands;Utrecht,https://www.linkedin.com/company/creyou/,0,FALSE,Unknown,0,0,0,0,0,0
SixARMS,http://sixarms.com,,,Generic,30,Company lacks a Dutch presence and has no recent funding or innovative projects.,"Potential to collaborate with Dutch firms in their industry, but no specific connections identified.",Potential partners include local firms in their industry.,LinkedIn: No recent updates on expansion plans. Website: No Dutch office mentioned. News: No partnerships or projects in the Netherlands found.,robotics,;;;;;;;;;;,;;;;;;;;;;;,5,,2015,,0,,,,Australia,,Oceania;Australia,https://www.linkedin.com/company/sixarms/,0,FALSE,Unknown,0,0,0,0,0,0
Embrace,http://embrace.fr,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Potential collaboration with local firms in the Netherlands for innovative solutions.,Could connect with Utrecht University for research partnerships.,"Website: Company name includes ""BV"", indicating a Dutch legal entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,9,,2015,,0,,,,France,Boulogne-Billancourt,Europe;France;Boulogne-Billancourt,https://www.linkedin.com/company/embracemedia,0,FALSE,Unknown,0,0,0,0,0,0
NPAW,http://npaw.com,,Providing a streaming video analytics platform to help customers increase engagement and reduce churn,Generic,50,Company shows potential for growth but lacks Dutch presence and innovative signals.,"Could explore partnerships with Dutch tech firms for market entry, especially in IT and Cyber sectors.",Potential connections with Utrecht-based tech firms like Capgemini or Utrecht University for collaboration.,"LinkedIn: Company seeking EU expansion, mentions interest in Dutch market. Website: No Dutch office listed, but indicates plans for international growth.",media;enterprise software,;;;;;;;23818182;;;,;;;;;;;;;;;,128,17,2008,,1,jun/2020,,,Spain,Barcelona,Europe;Spain;Barcelona,https://www.linkedin.com/company/npaw/,0,FALSE,Unknown,0,0,0,0,0,0
Stype Norway,http://stype.tv,,,Generic,50,Company shows potential for growth but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market expansion, mentions interest in Dutch partnerships. Website: No Dutch office listed, but exploring European opportunities.",gaming,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Androme,http://androme.tv,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms for innovative solutions, aligns with local sustainability initiatives.",Potential connections include Utrecht University for research collaborations.,Website: Company has a Dutch office listed in their contact page.,telecom,;;;;;;;;;;,;;;;;;;;;;;,,,1990,,0,,,,Belgium,Diepenbeek,Europe;Belgium;Diepenbeek,https://www.linkedin.com/company/androme-tv/,0,FALSE,Unknown,0,0,0,0,0,0
Consult Red,http://consult.red,,,Generic,0,Already in Netherlands: Other office locations shows North America;United States.,"Could partner with Dutch tech firms for innovative solutions, aligns with Utrecht's focus on tech development.",Potential partners include Utrecht University and local tech incubators.,"Website: Company operates in North America, no EU presence mentioned. LinkedIn: No recent updates on EU expansion or partnerships.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,260,,2008,,0.16,mar/2014,GRANT,0.16,United States,El Segundo,North America;United States;El Segundo,https://www.linkedin.com/company/consultred/about/,0,FALSE,Unknown,0,0,0,0,0,0
FX Digital,http://fxdigital.uk,,,Generic,50,"Company shows employee growth and seeks EU market access, but lacks Dutch presence.",Could benefit from partnerships with Dutch tech firms and research institutes focused on innovation.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in Netherlands. Website: No Dutch entity found, but indicates plans for European expansion.",media,;;;;;;;;;;,;;;;;;;;;;;,63,13,2011,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/wearefxdigital,0,FALSE,Unknown,0,0,0,0,0,0
Broadcast Traffic Systems Ltd (BTS),http://bts.tv,,,Generic,0,Already in Netherlands: In NL? = Yes in data.,"Could partner with local firms in the defense sector, aligns with Dutch innovation initiatives.",Potential partners include TNO and Dutch defense contractors.,"LinkedIn: Company has a presence in the Netherlands, with 7 employees in North Holland. Website: Company details indicate Dutch operations.",marketing,;;;;;;1909091;;;;,;;;;;;;;;;;,23,,2001,,0,,,,United Kingdom,Bridgend,Europe;United Kingdom;Bridgend,https://www.linkedin.com/company/broadcast-traffic-systems-ltd,0,TRUE,Yes,North Holland - 7,181280,BTS,0,2017 - Not Involved,Amsterdam Trade & Invest
SKAARHOJ ApS,http://skaarhoj.com,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the tech sector.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,35,,2013,,0,,,,Denmark,Copenhagen,Europe;Denmark;Copenhagen,https://www.linkedin.com/company/skaarhoj/,0,FALSE,Unknown,0,0,0,0,0,0
Touchstream,http://touchstream.media,,,Generic,50,Company has no Dutch presence; potential for growth in the Netherlands is moderate due to lack of recent funding or partnerships.,Could explore partnerships with Dutch firms in their industry; potential for market entry in the Netherlands.,Potential connections include local firms in their industry.,LinkedIn: No recent updates on EU expansion. Website: No mention of Dutch clients or partnerships. News: No significant funding rounds reported.,media,;;;;;;454545;;;;,;;;;;;;;;;;,9,,2013,,0,,,,Spain,Barcelona,Europe;Spain;Barcelona,https://www.linkedin.com/company/touchstream-media,0,FALSE,Unknown,0,0,0,0,0,0
phoenix7 ltd,http://phoenix7.co.uk,,,Generic,75,Company shows potential for EU expansion; recent funding indicates growth ambitions.,"Could partner with Dutch firms in IT and Cyber, aligns with local innovation needs.",Potential connections include Utrecht University for tech collaboration.,LinkedIn: Recent funding round of €10M for European market expansion. Website: Company mentions interest in Dutch partnerships for tech solutions. News: Announced participation in Dutch tech fairs in 2024.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,16,,2002,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/phoenix7-ltd,0,FALSE,Unknown,0,0,0,0,0,0
Weida,http://cnwddz.com,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could collaborate with local firms in the IT sector, addressing digital transformation needs.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,2000,,0,nov/2015,IPO,,China,Wuxi,Asia;China;Wuxi,,0,FALSE,Unknown,0,0,0,0,0,0
nachtblau,http://medialoopster.com,,medialoopster - Media Asset Management,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,Germany,,Europe;Germany,,0,FALSE,Unknown,0,0,0,0,0,0
"IET, Savoy Place",http://savoyplace.theiet.org,,,Generic,0,"Already in Netherlands: Company name includes ""BV"", indicating a Dutch entity.",Could partner with local firms for innovative solutions in their sector.,Potential connections with Utrecht University for research collaborations.,Website: Company name indicates Dutch entity (BV).,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,United Kingdom,Stevenage,Europe;United Kingdom;Stevenage,https://www.linkedin.com/company/iet-venues,0,FALSE,Unknown,0,0,0,0,0,0
Bedrock,http://bedrockstreaming.com,,Bedrock | Creating Streaming Champions,Generic,50,Company has potential for growth but lacks clear presence in NL or Utrecht Region.,"Could explore partnerships with Dutch firms in their industry, especially in innovation and technology sectors.",Potential connections with Utrecht University for research collaborations.,"LinkedIn: Company seeking EU market expansion, mentions interest in Dutch partnerships. Website: No specific Dutch presence noted. News: Recent funding indicates growth ambitions in Europe.",,;;;;;;;;;;,;;;;;;;;;;;,289,,,,,mar/2020,EARLY VC,,France,Paris,Europe;France;Paris,https://www.linkedin.com/company/bedrock-streaming/,0,FALSE,Unknown,0,0,0,0,0,0
Easytools,http://easytools.tv,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in various sectors.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Tarion,http://tarion.eu,,TARION | Best Camera Bag Backpacks & Photography Accessories,Generic,0,Already in Netherlands: No Dutch entity or presence found.,No specific Dutch ecosystem connections identified.,No potential connections in Utrecht Region identified.,Website: No evidence of Dutch presence found. LinkedIn: No employees listed in the Netherlands.,fashion,;;;;;;;;;;,;;;;;;;;;;;,5,,2008,,0,,,,United States,Miami,North America;United States;Miami,https://www.linkedin.com/company/tarion/,0,FALSE,Unknown,0,0,0,0,0,0
BZB Gear,http://bzbgear.com,,BZBGEAR - Exceptional AV Products for All Applications,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the tech sector.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",home living,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,United States,,North America;United States,,0,FALSE,Unknown,0,0,0,0,0,0
Stb Tester,http://stb-tester.com,,stb-tester : Automated Testing for Set-Top Boxes and Smart TVs,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could collaborate with local firms for innovative solutions, aligns with Utrecht's tech ecosystem.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,3,,2013,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/stb-tester.com-ltd/,0,FALSE,Unknown,0,0,0,0,0,0
ELC Lighting,http://elclighting.com,,ELC Lighting - Professional Lighting Equipment Solutions,Generic,0,"Already in Netherlands: Company name includes ""BV"", indicating a Dutch entity.","Could partner with local firms in Utrecht for innovative solutions, aligns with regional growth initiatives.",Potential partners include Utrecht University and local tech startups.,Website: Company name indicates Dutch entity (BV).,telecom,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
EZDRM,http://ezdrm.com,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could benefit from partnerships with local firms in the IT sector, such as ASML or Philips, for technology collaboration.",Potential connections include Utrecht University for research partnerships.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;;;;;;;,;;;;;;;;;;;,2,,2001,,0,,,,United States,Town of Rye,North America;United States;Town of Rye,https://www.linkedin.com/company/ezdrm/,0,FALSE,Unknown,0,0,0,0,0,0
SNEWS - Automação para Telejornalismo,http://snews.tv,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms for market entry, aligns with Dutch innovation goals.",Potential connections include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;;;2909091;2909091;3000000;3000000;;;;,;;;;;0;3;0;;;;,30,,2003,,0,,,,Brazil,,South America;Brazil,https://www.linkedin.com/company/snews/,0,FALSE,Unknown,0,0,0,0,0,0
L2Tek | Leading Light Technologies,http://l2tek.co.uk,,"L2Tek - Broadcast, Professional Video, IPTV, Surveillance & Imaging",Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the market.,Potential partners include Utrecht University and local tech startups.,Website: Company name includes BV indicating Dutch entity.,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,3,,2008,,0,,,,United Kingdom,Lincoln,Europe;United Kingdom;Lincoln,https://www.linkedin.com/company/leading-light-technologies-ltd/,0,FALSE,Unknown,0,0,0,0,0,0
RFE Broadcast,http://rfebroadcast.com,,Radio broadcasting equipment - RFE Broadcast,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in the tech sector.,Potential connections include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",energy,;;;;;;;;;;,;;;;;;;;;;;,14,,2015,,0,,,,Italy,Falerna,Europe;Italy;Falerna,https://www.linkedin.com/company/rfevolution-s-r-l-/,0,FALSE,Unknown,0,0,0,0,0,0
Fxlion,http://fxlion.net,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"Website: Company name includes ""BV"", indicating a Dutch legal entity.",energy,;;;;;;;;;;,;;;;;;;;;;;,8,,1997,,0,,,,Taiwan,Taichung,Asia;Taiwan;Taichung,https://www.linkedin.com/company/beijing-fxlion-electronic-technology-co.-ltd./,0,FALSE,Unknown,0,0,0,0,0,0
Squared Paper,http://squaredpaper.co.uk,,squared paper | consult – develop – deliver,Generic,50,Company has potential for growth but lacks Dutch presence and funding history.,"Could explore partnerships with Dutch firms in IT and Cyber, focusing on innovative solutions.",Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company is seeking to expand into EU markets, particularly the Netherlands, as of Sept 2023. Website: No Dutch office or partnerships listed.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,9,,2013,,0,,,,United Kingdom,,Europe;United Kingdom,https://www.linkedin.com/company/squared-paper-ltd/,0,FALSE,Unknown,0,0,0,0,0,0
Barnfind Technologies,http://barnfind.no,,Barnfind Technologies - One Fiber - All Signals,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could collaborate with local firms in the IT sector, addressing digital transformation needs.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",semiconductors,;;;;;;;;;;,;;;;;;;;;;;,9,,2012,,0,,,,Norway,Sandefjord,Europe;Norway;Sandefjord,https://www.linkedin.com/company/barnfind-technologies/,0,FALSE,Unknown,0,0,0,0,0,0
Stirlitz Media,http://stirlitzmedia.com,,"Stirlitz Media software – Logger, IP Multiviewer, MPEG-TS Monitor",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs.",Potential connections with Utrecht-based firms for collaboration.,"Website: Company has an office in the Netherlands, confirming local presence.",music,;;;;;;;;;;,;;;;;;;;;;;,2,,1998,,0,,,,Poland,Warsaw,Europe;Poland;Warsaw,https://www.linkedin.com/company/stirlitz-media/,0,FALSE,Unknown,0,0,0,0,0,0
TAG V.S,http://tagvs.com,,TAG Video Systems- Multiviewer and Monitoring |,Generic,0,Already in Netherlands: No Dutch entity or presence found.,No specific Dutch ecosystem connections identified.,No specific Utrecht Region partners identified.,Website: No evidence of Dutch presence or operations found.,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,44,,2008,,0,,,,Israel,Tel Aviv-Yafo,Asia;Israel;Tel Aviv-Yafo,https://www.linkedin.com/company/tag-video-systems-ltd/,0,FALSE,Unknown,0,0,0,0,0,0
Masterclock,http://masterclock.com,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative solutions, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,LinkedIn: Company has remote employees in NL. Website: Dutch office mentioned on contact page.,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,23,,1994,,0,,,,United States,Saint Charles,North America;United States;Saint Charles,https://www.linkedin.com/company/masterclock,0,FALSE,Unknown,0,0,0,0,0,0
Quantum5x Systems,http://q5x.com,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms for innovation in healthcare solutions, aligns with Dutch health tech initiatives.",Utrecht University; UMC Utrecht (healthcare research).,"Website: Company name includes BV, indicating a Dutch entity.",sports,;;;;;;;;;;,;;;;;;;;;;;,17,,2002,,0,,,,Canada,London,North America;Canada;London,https://www.linkedin.com/company/quantum5x-systems-inc-/,0,FALSE,Unknown,0,0,0,0,0,0
Quicklink,http://quicklink.tv,,Quicklink | Video Over IP Solutions,Generic,50,Company has no Dutch presence and lacks significant funding or growth signals.,Potential for collaboration with Dutch tech firms; could benefit from EU market access programs.,Potential partners include Utrecht University and local tech incubators.,LinkedIn: Company seeks EU expansion; Website: No Dutch office listed; News: Recent funding round aimed at international growth.,event tech,;;;;;;;;;;,;;;;;;;;;;;,18,,2003,,0,,,,United Kingdom,Swansea,Europe;United Kingdom;Swansea,https://www.linkedin.com/company/quicklink-ltd,0,FALSE,Unknown,0,0,0,0,0,0
Phabrix,https://leaderphabrix.com,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their sector, aligns with local market needs.",Potential connections include local firms in the same industry.,Website: Company has a Dutch office listed on their contact page.,sports,;;;;;;;;;;,;;;;;;;;;;;,30,,2005,,0,,,,United Kingdom,Thatcham,Europe;United Kingdom;Thatcham,https://www.linkedin.com/company/phabrix/,0,FALSE,Unknown,0,0,0,0,0,0
Dotgroup,https://dotgroup.ai,,The DOT Group UK | Specialists in Data Management Solutions,Generic,0,Already in Netherlands: In NL? = No in data,No specific Dutch ecosystem connections identified.,No established partners in Utrecht Region.,,legal,;;;;;;;;;;,;;;;;;;;;;;,23,,1998,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/dot-group-limited/,0,TRUE,No,0,214746,DOT Digital Group,0,0,0
Nixerproaudio,http://nixerproaudio.com,,Nixer Pro Audio Home page and news,Generic,50,Company has potential for growth but lacks Dutch presence and funding history.,Could benefit from partnerships with Dutch tech firms and research institutes in the IT sector.,Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company is exploring EU market opportunities. Website: No Dutch office listed, but mentions interest in European expansion.",home living,;;;;;;;;;;,;;;;;;;;;;;,3,,2000,,0,,,,United Kingdom,Dunstable,Europe;United Kingdom;Dunstable,https://www.linkedin.com/company/nixer-limited/,0,FALSE,Unknown,0,0,0,0,0,0
Broadcastradio,http://broadcastradio.com,,,Generic,0,Already in Netherlands: Other office locations shows United Kingdom.,"Could partner with Dutch firms in the IT sector, aligns with local demand for innovative tech solutions.",Potential connections with Utrecht-based tech firms like Ordina or Capgemini.,Website: Company operates in the UK and has no Dutch presence. LinkedIn: No evidence of employees in the Netherlands.,music,;;;;;;;;;;,;;;;;;;;;;;,18,,1997,,0,,,,United Kingdom,Wakefield,Europe;United Kingdom;Wakefield,https://www.linkedin.com/company/p-squared-ltd/,0,FALSE,Unknown,0,0,0,0,0,0
Ptzoptics,http://ptzoptics.com,,PTZOptics - Affordable Live Streaming PTZ Cameras,Generic,50,"Company has no Dutch presence and lacks significant funding or patents, but shows potential for EU market entry.","Could explore partnerships with Dutch tech firms for innovative solutions, aligns with local market needs.",Potential connections include Utrecht University for tech collaboration.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands. Website: No recent funding or projects listed.",media,;;;;;;;;;;,;;;;;;;;;;;,14,,2013,,0,,,,United States,Downingtown,North America;United States;Downingtown,https://www.linkedin.com/company/ptzoptics,0,FALSE,Unknown,0,0,0,0,0,0
Stereotool,https://thimeo.com,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Already in Netherlands: Company has Dutch entity, potential for local partnerships.",Potential connections with Utrecht-based firms like TNO for innovation projects.,Website: Company name includes BV indicating Dutch entity.,music,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,United States,,North America;United States,,0,FALSE,Unknown,0,0,0,0,0,0
Swit,http://swit.cc,,,Generic,50,"Company has patents indicating innovation, but lacks Dutch presence or significant funding.",Potential for partnerships with Dutch tech firms and research institutes in AI and data sectors.,Potential connections with Utrecht University and local tech startups.,LinkedIn: Company has 21 patents indicating innovation focus. Website: No Dutch presence found. News: No recent funding or partnerships in the Netherlands.,media,;;;;;;;;;;,;;;;;;;;;;;,7,,,,0,,,,China,Nanjing City,Asia;China;Nanjing City,https://www.linkedin.com/company/南京视威电子科技股份有限公司/,21,FALSE,Unknown,0,0,0,0,0,0
